,cusid,firstname,lastname,age,email,adress,lastdateofinvoice,totalpiclothes,totalpieshoes,timesbought,totalamclothes,totalamshoes,maxamclothes,maxamshoes,loyalty
21,custid22,Ευλαμπία,Γκούβα,83,panteleimon78@example.net,"Λεωφόρος Νικηθιανού 28,
77304 Μεσολόγγι",2024-12-01 20:22:30,184.0,91.0,12,2512,4464,171,33.0,l
22,custid23,Μαυρίκιος,Τερζής,-26,marinos.patelli@example.com,"Μυρσινοχωρίου 61,
80980 Κατερίνη",2024-02-02 03:54:07,176.0,134.0,11,0,4634,106,53.0,l
23,custid24,,Αναστασίου,60,atalanti57@example.net,"Πάρ. Φαμίλας 40,
02376 Χίος",2024-03-24 04:39:46,,158.0,36,396,2958,38,143.0,l
24,custid25,Φρύνη,Σγουρένα,-69,michail.tsetseri@example.org,,2024-04-12 04:11:50,176.0,35.0,47,1773,4338,189,24.0,l
25,custid26,Κυβέλη,,57,hfalieros@example.org,"Πλατεία Βασιλακίου 138-335,
ΤΚ 54114 Σάμος",2024-12-02 16:21:54,140.0,197.0,16,678,4722,149,63.0,l
26,custid27,-ατθαίος,Ρίγκος,22,umpaltzis@example.org,"Αμοργού 432,
ΤΚ 82638 Γρεβενά",,184.0,92.0,20,3663,2939,73,,nl
27,custid28,Ευσεβία-Χρυσάνθη,Οικονομοπούλου,24,sefekos.othon@example.org,"Λεωφ. Ξηρολίμνης 2,
333 19 Ερμούπολη",2024-11-18 19:55:41,116.0,27.0,19,2134,4707,97,189.0,l
28,custid29,Καλλιρρόη,Σιδηροπούλου,34,grigorios.makariadis@example.net,"Πλατεία Παύλιας 55,
781 37 Κιλκίς",2024-10-19 02:02:44,170.0,142.0,28,2614,2749,74,128.0,l
29,custid30,Θεοφίλη,Παπανδρέου,67,tzanetos.paulaki@example.org,"Λεωφόρος Τενέδου 419,
ΤΚ 361 14 Κομοτηνή",2024-10-30 20:10:51,179.0,151.0,16,4047,2543,85,98.0,nl
30,custid31,Συμεών,Χαλατσής,77,ismini.katsavos@example.com,"Λεωφόρος Ραβενής 367-720,
33732 Μυτιλήνη",2024-11-24 21:58:30,123.0,13.0,38,2919,3018,82,132.0,nl
31,custid32,Σελήνη,,58,alkistis.pouli@example.org,"Μαλαντρενίου 6,
ΤΚ 97645 Τρίπολη",2024-06-15 13:11:43,174.0,162.0,25,3399,4470,67,76.0,l
32,custid33,Δαμιανή,Βουτσινά,35,katsigianni.ananias@example.com,"Πενταλόφου 976,
188 49 Καβάλα",2024-03-06 01:08:18,199.0,189.0,30,4746,862,130,171.0,l
33,custid34,Ροδόφλος-Ρίζος,Κωνσταντακόπουλος,58,eufrosyni72@example.net,"Κοκκινίου 62,
ΤΚ 482 47 Φλώρινα",2024-06-14 03:22:07,189.0,27.0,6,4476,3837,194,,nl
34,custid35,Δήμητρα,Γκαλίου,70,estamatis@example.com,"Καλούδη 27,
05570 Μεσολόγγι",2024-08-16 10:53:16,115.0,153.0,31,4104,3943,42,140.0,nl
35,custid36,Μαρτίνος-Αναξαγόρας,Σμπονιάς,23,androklis46@example.com,"Νεοκαισαρείας 5,
103 49 Αργοστόλι",2024-08-12 03:25:59,145.0,81.0,21,4205,2308,83,101.0,l
36,custid37,Θέμις,,56,isidoros.kampakas@example.org,"Νεροφράκτου 85-16,
ΤΚ 67867 Ιωάννινα",2024-07-12 06:01:33,139.0,76.0,39,3101,2378,68,105.0,nl
37,custid38,Χιονιά,,-27,,"Μαραθοπόλεως 40,
703 80 Λάρισα",2024-06-17 12:06:59,178.0,79.0,24,3113,4029,49,148.0,nl
38,custid39,Θεολογία,Διοπούλου,59,vasileia05@example.com,"Σκαφτούρου 25-11,
ΤΚ 633 53 Βέροια",2024-01-24 14:40:57,160.0,186.0,45,4592,3982,193,151.0,l
39,custid40,Ξανθός,Κουταλιός,28,masiala.venizelos@example.com,"Φίλκα 94,
859 12 Κατερίνη",2024-04-04 19:34:19,110.0,89.0,0,0,3360,149,195.0,l
40,custid41,Νεκταρία,,23,petros27@example.org,"Δρίβα 83,
ΤΚ 08073 Αθήνα",2024-03-02 18:49:38,149.0,40.0,49,1232,3514,96,156.0,nl
41,custid42,Αργυρούλα,Θεοδωροπούλου,-66,karamani.vissaria@example.com,"Πάρ. Περδικονερίου 9,
536 66 Γρεβενά",2024-01-16 13:49:09,159.0,146.0,38,4525,3947,149,134.0,l
42,custid43,Κομνηνή,,77,lioutas.terpsichori@example.net,"Πάρ. Μεγάλης Κάψης 59,
ΤΚ 52393 Ξάνθη",2024-03-07 19:33:05,192.0,172.0,34,4301,1462,76,108.0,l
43,custid44,Αγάπη-Φλώρα,τρέαηκλΚασ,75,emmanouil13@example.com,"Κρινοφύτων 13,
306 80 Αλεξανδρούπολη",2024-03-27 22:34:40,132.0,103.0,38,1913,3163,140,29.0,nl
44,custid45,Νίκανδρος,Μπουρλής,85,,"Ζαχαριουδάκη 02,
67402 Λιβαδιά",2024-02-17 10:10:19,112.0,171.0,39,3095,1298,159,31.0,l
45,custid46,Χρυσαυγή,Σιούτα,53,spanos.zacharoula@example.com,"Αγία Κυριακή 99-36,
82597 Τρίπολη",2024-09-24 09:01:28,138.0,12.0,2,3846,3238,91,138.0,l
46,custid47,Μεγακλής,Κούτσικος,59,lpetraki@example.net,"Καμενίτσης 86,
ΤΚ 821 56 Κομοτηνή",2024-01-12 10:48:40,152.0,193.0,31,2108,4042,102,63.0,nl
47,custid48,Αριστέα,Αλυσανδράτου,33,pdrosou@example.net,"Ραγίου 25-07,
66493 Χανιά",2024-09-10 20:43:54,163.0,17.0,22,3001,4126,121,154.0,l
48,custid49,Αστέριος,Πιπερίγκος,-59,estergialis@example.com,,2024-05-29 11:12:14,122.0,13.0,37,2445,712,199,63.0,l
49,custid50,Δημήτρης,Χατζιάρας,35,vasileiou.vagia@example.org,"Πλατεία Αρδόσεως 1,
882 18 Ρέθυμνο",2024-10-03 09:34:25,157.0,112.0,24,2802,3742,154,88.0,l
50,custid51,Ελπίς,Λιάκου,49,gkolfo.masopoulos@example.com,"Κατσιδωνίου 17,
05091 Αθήνα",2024-04-25 12:33:00,139.0,95.0,39,0,3330,61,105.0,l
51,custid52,Σπήλιος,Καλαϊτζάκης,81,iakovina22@example.com,"Βλαχογιαννίου 33,
68771 Κοζάνη",2024-07-29 17:22:05,155.0,,35,2817,1614,162,180.0,nl
52,custid53,Σωτήρης,Μαντζουράνης,80,diamanto04@example.net,"Λεωφόρος Εξαλόφου 9,
565 00 Γρεβενά",2024-04-16 16:36:51,112.0,187.0,6,4907,3567,159,141.0,l
53,custid54,Λέανδρος,Γεροδήμος,56,yandriotis@example.com,"Διαβολιτσίου 34,
68591 Αγ. Νικόλαος",2024-06-15 13:54:37,141.0,,24,4883,747,107,172.0,l
54,custid55,Σεμίνα,Σιμητοπούλου,-77,aimilios09@example.net,"Βελονάδων 09,
ΤΚ 21309 Καβάλα",2023-12-28 22:09:05,112.0,198.0,7,358,3982,43,49.0,l
55,custid56,Χρυσοβαλάντω,Βαφειάδου,-74,agni73@example.net,"Μαυράτων 3,
92321 Αγ. Νικόλαος",2024-07-01 02:17:27,176.0,125.0,0,4904,4007,54,52.0,nl
56,custid57,,Αρσενάκη,26,paressa.peppas@example.org,"Λεωφ. Αρτεσιανού 92,
713 02 Κοζάνη",2023-12-20 14:48:55,167.0,131.0,21,3097,3081,20,123.0,l
57,custid58,,Σταμούλη,42,markos.takantzas@example.net,"Μαυρολιθαρίου 379-635,
856 44 Ρόδος",2024-10-18 00:04:33,195.0,194.0,8,1160,1115,192,53.0,nl
58,custid59,-ιομήδης,Σκρέκας,51,aliki79@example.org,"Λυμαξή 19,
ΤΚ 36093 Χαλκίδα",2024-02-24 14:33:27,117.0,56.0,20,3301,4599,124,72.0,l
59,custid60,Πρόδρομος,Ανδριανός,27,eustratios49@example.org,"Λεωφ. Πτεριάς 425,
ΤΚ 671 14 Σάμος",,184.0,138.0,38,2299,1169,82,183.0,nl
60,custid61,Θαλής,Ανδρουλάκης,81,agathoklis19@example.org,"Κινιδάρου 67-26,
166 90 Λαμία",2024-04-03 09:31:35,117.0,11.0,41,1012,2682,68,44.0,nl
61,custid62,Ελπίς,Καραγιοβάννη,63,egiannakitsas@example.org,"Λατσίδας 1,
ΤΚ 22610 Ηράκλειο",2024-01-24 05:39:19,154.0,86.0,46,4770,3176,136,47.0,nl
62,custid63,Αγάθη,,41,ieremias75@example.com,"Σχινοχωρίου 09-58,
24302 Λιβαδιά",2024-10-27 15:17:49,176.0,31.0,11,4970,774,103,49.0,l
63,custid64,,Δρακάκης,40,zampeta.doumas@example.com,"Λογκάκη 95,
ΤΚ 271 17 Καβάλα",2024-09-23 14:03:40,168.0,118.0,32,359,3789,103,,l
64,custid65,,Μαστραγγελή,23,aggeliki34@example.com,"Στουππαίων 5,
ΤΚ 821 44 Κέρκυρα",2024-06-09 16:22:46,190.0,37.0,3,4066,2515,26,52.0,nl
65,custid66,,Κουταλιός,43,gkova.epistimi@example.net,"Πάρ. Κουφοβούνου 87,
ΤΚ 128 85 Βέροια",2024-01-04 16:10:35,162.0,180.0,41,3359,1536,120,83.0,l
66,custid67,,,85,iris.kokordelis@example.com,"Ελικίστρας 66,
62465 Σέρρες",,182.0,90.0,29,1576,3630,115,22.0,nl
67,custid68,-αγώνα,,60,rafail46@example.org,"Ξεριά 82,
ΤΚ 69558 Ρόδος",2024-11-01 14:48:28,102.0,38.0,21,1612,1143,199,107.0,l
68,custid69,Βαλάντω,Κονσούλα,41,alexandros.voulgaridou@example.com,"Πύρρας 8,
ΤΚ 75064 Καλαμάτα",2024-07-12 17:16:41,,67.0,13,2023,1634,177,174.0,l
69,custid70,Δικαία,Βαβάση,74,,"Καμηλαρίου 50,
50155 Άμφισσα",2024-01-20 05:39:37,132.0,30.0,35,648,569,37,175.0,nl
70,custid71,Νικητία,Λογκάκη,25,ykatsanikou@example.org,"Χασάπη 80-27,
55654 Ρόδος",2024-02-26 13:18:12,150.0,29.0,5,1267,998,37,135.0,l
71,custid72,Όμηρος,,77,stylianos00@example.com,,2024-02-02 18:22:39,115.0,118.0,23,2685,2840,47,,nl
72,custid73,Προκόπιος,Νικουλής,-50,vikentios48@example.net,"Στενημάχου 99,
ΤΚ 648 09 Θεσσαλονίκη",2024-02-25 14:52:29,100.0,80.0,36,3152,4526,180,130.0,nl
73,custid74,,Μακρυγιάννης,-41,akatsimali@example.com,"Βέσσης 27,
27247 Καρπενήσι",2024-03-19 14:37:42,192.0,29.0,19,827,1058,100,110.0,l
74,custid75,Ασκληπιός,Καραμσαλής,68,kleoniki.passalidis@example.com,"Βαζούρα 37-06,
ΤΚ 667 53 Καστοριά",2023-12-11 23:13:43,103.0,179.0,8,827,4220,103,21.0,l
75,custid76,Μακρίνα,Χαντζή,58,ampimpiri@example.com,"Γάβρου 14,
ΤΚ 735 42 Γρεβενά",2024-03-04 08:55:27,171.0,37.0,45,3760,2997,179,38.0,nl
76,custid77,,Καραγιάννη,36,miltiadis.poulogiannopoulos@example.net,"Χουστουλιανών 6,
01815 Πρέβεζα",2024-03-01 08:44:34,110.0,105.0,16,2065,1340,118,85.0,nl
77,custid78,,Γιατρομανωλάκης,62,koutouzidou.petros@example.com,"Μικροκάμπου 0,
016 70 Αλεξανδρούπολη",2024-07-28 11:06:51,134.0,40.0,38,647,3642,120,126.0,l
78,custid79,Βασιλεία,Τσάτη,31,spanidou.niki@example.com,,2024-03-09 07:47:45,142.0,198.0,31,2720,1298,46,138.0,l
79,custid80,Μηνάς,Μιχαλάκης,52,satlas.zafeiria@example.com,"Φαλελιανών 12,
ΤΚ 65601 Αθήνα",2024-01-05 17:53:45,160.0,83.0,45,1662,4030,150,183.0,l
80,custid81,Αριστείδης,Κεχαγιάς,45,kterzis@example.org,"Πέντε Εκκλησιών 99,
45877 Καλαμάτα",2024-07-29 15:26:11,170.0,165.0,23,2165,2642,156,,nl
81,custid82,Κωνσταντίνα,Πετρίδου,67,npapanota@example.org,"Νικοτσάρας 24,
423 58 Μυτιλήνη",2024-01-11 18:58:00,123.0,74.0,27,2082,2695,32,89.0,l
82,custid83,Φιλιππία-Μαργιέττα,,84,iasonas36@example.org,"Κρασίου 4,
ΤΚ 75399 Πάτρα",2024-01-20 10:20:59,199.0,166.0,41,3207,1108,191,38.0,l
83,custid84,Βαλεντίνος,,65,yaxiotis@example.org,"Παπαδοπούλου 344,
ΤΚ 66399 Τρίκαλα",2024-03-05 19:02:30,175.0,99.0,30,478,679,196,78.0,l
84,custid85,Ταξιαρχία,Φιήτυλ,36,koulouriotis.neofytos@example.org,"Μέλανι 2,
98606 Ηράκλειο",2023-12-13 14:07:51,108.0,10.0,13,0,1240,158,140.0,l
85,custid86,Νικηφόρος,Ραδοβάλης,22,trentsiou.sotiris@example.net,"Πλατεία Λαιμού 55,
63172 Έδεσσα",2024-06-20 16:33:35,177.0,149.0,11,2218,2890,128,164.0,l
86,custid87,Ναυσικά,αΚυιπροουολκύ,84,georgia.mandros@example.net,"Ταυλαρίδου 1,
55818 Λευκάδα",2024-11-24 07:03:57,148.0,,21,540,1352,186,74.0,nl
87,custid88,Στέλλιος,Ζηματίκας,25,kalamaras.kikilia@example.net,"Πάνου 0,
10344 Χαλκίδα",2024-07-09 22:44:47,189.0,73.0,48,4048,4560,32,26.0,nl
88,custid89,,Γρίβας,84,,"Σκοπού 52,
72921 Καβάλα",2024-09-29 23:41:40,116.0,146.0,36,4469,1336,86,43.0,l
89,custid90,,Ραχωβίτσας,-28,paraskeui29@example.com,"Παναγούλας 08,
676 57 Ζάκυνθος",2024-02-09 15:39:07,141.0,66.0,28,360,3907,131,141.0,l
90,custid91,,Λιάκου,26,roupakas.velissaria@example.com,"Πισκοπάνη 4,
ΤΚ 917 94 Πάτρα",,129.0,40.0,50,1089,3137,106,109.0,nl
91,custid92,Αντιγόνη,Χρυσάφη,-62,mpliatsiou.iordanis@example.net,"Ράδου 3,
ΤΚ 473 24 Κοζάνη",2024-05-12 03:32:47,111.0,158.0,36,3279,3887,41,170.0,nl
92,custid93,Λεονάρδος,Λέλεκας,68,mauromanolakis.anna@example.net,"Σωτηροπούλου 22,
ΤΚ 07802 Ναύπλιο",2024-09-12 14:22:48,197.0,168.0,9,1006,2635,26,179.0,nl
93,custid94,Γιολάντα-Παντούλα,Βαζούρα,61,miranta27@example.org,"Λιούκα 012-549,
ΤΚ 48402 Ρόδος",2024-09-09 03:52:13,195.0,163.0,10,666,2878,89,146.0,l
94,custid95,Αθηναγόρας,Κουτσουλής,35,moschopoulos.vasileios@example.org,"Λεωφόρος Κουφοπούλου 3,
ΤΚ 01488 Χανιά",2024-06-03 06:34:51,173.0,149.0,10,4413,4623,94,198.0,l
95,custid96,Αργύριος,Περδικάκης,62,untovas@example.org,"Σταφιδοκάμπου 180,
746 61 Μυτιλήνη",2024-02-22 13:24:32,134.0,56.0,43,2355,395,60,32.0,nl
96,custid97,,,52,iosifina20@example.com,"Μαυροείδη 985-051,
ΤΚ 86019 Βόλος",2024-01-10 13:09:36,150.0,28.0,0,1541,2043,47,46.0,l
97,custid98,Νικόδημος,,79,kourelis.lydia@example.org,"Μάλαμα 098-726,
93722 Ναύπλιο",2024-07-31 02:59:18,173.0,129.0,4,2692,4985,77,190.0,nl
98,custid99,Σαββούλα,Τζάγκα,61,moschovaki.thetis@example.net,"Βραχατίου 92,
81241 Ηγουμενίτσα",2024-03-28 22:25:44,,113.0,41,4319,3016,63,119.0,nl
99,custid100,Κρινιώ-Φιλιώ,Σταματούκου,-20,artemios.alexandraki@example.net,"Θραψιμίου 266-159,
ΤΚ 21369 Αγ. Νικόλαος",2023-12-29 15:59:01,198.0,55.0,49,3010,1456,78,188.0,l
100,custid101,Κρινιώ-Φιλιώ,-ταματούκου,-20,artemios.alexandraki@example.net,"Θραψιμίου 266-159,
ΤΚ 21369 Αγ. Νικόλαος",2023-12-29 15:59:01,198.0,,49,3010,1456,78,188.0,l
